SMT Solver,Method,Template,Strengthen,Num Disjunctions,NetBSD_loop_true-unreach-call_true-termination,array,array-new,array_simp,array_vars,cegar1,cegar1-new,cegar1_vars,cegar1_vars-new,cegar2,cegar2-new,cegar2_vars,cegar2_vars-new,cggmp,const_false-unreach-call1,const_true-unreach-call1,count_by_1_true-unreach-call_true-termination,count_by_1_variant_true-unreach-call_true-termination,count_by_2_true-unreach-call_true-termination,count_by_nondet_true-unreach-call_true-termination,count_up_down_false-unreach-call_true-termination,css2003_true-unreach-call_true-termination,dec,dec-new,dec_simpl,dec_vars,ex11,ex11-new,ex11_simpl,ex11_simpl-new,ex11_vars-new,ex14,ex14-new,ex23,ex7,ex7_vars,ex_23_vars,fib_04,fib_09s,fib_10,fib_13,fib_15,fib_20,fib_23_x,fib_28,fib_30_x,fib_35,fib_37,fib_44,fig3,fig3_vars,fig9,fig9_vars,for_bounded_loop1_false-unreach-call_true-termination,for_infinite_loop_1_true-unreach-call_false-termination,formula22,formula25,formula27,gj2007_true-unreach-call_true-termination,gj2007b_true-unreach-call_true-termination,gr2006_true-unreach-call_true-termination,gsv2008_true-unreach-call_true-termination,inc,inc_simp,inc_vars,minor1,minor3,multivar_false-unreach-call1_true-termination,multivar_true-unreach-call1_true-termination,non-lin-ineq-1.desugared,non-lin-ineq-2.desugared,s_split_05,s_split_28,s_split_34,s_split_36,s_split_45,s_split_54,sendmail-close-angle_true-unreach-call_true-termination,seq_true-unreach-call_true-termination,simple_false-unreach-call2_true-termination,sum03_true-unreach-call_false-termination,sum1,sum1_vars,sum3,sum3_vars,sum4,sum4_simp,sum4_vars,terminator_02_true-unreach-call_true-termination,terminator_03_true-unreach-call_true-termination,underapprox_true-unreach-call2_true-termination,vardep,vsend,w1,while_infinite_loop_3_true-unreach-call_false-termination,while_infinite_loop_4_false-unreach-call_true-termination
cd15,efsmt,bv_zone,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,T,X,U,T,X,T,T,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,T,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,T,X,X,U,X,T,Err
bitwuzla,efsmt,power_bv_octagon,False,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,Err,Err,Err,U,U,U,Err,Err,U,U,Err,Err,U,T,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Err,U,U,Err,U,U,U,U,U,U,U,U,U,U,U,U,U,Err,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Err,Err
lgl,efsmt,bv_octagon,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
bitwuzla,efsmt,power_bv_zone,False,1,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U
msat,efsmt,power_bv_poly,True,1,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err
mc,efsmt,bv_interval,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,T,X,T,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,Err
yices2,efsmt,power_bv_zone,False,1,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,T,T,U,U,U,U,U,U
mc,efsmt,bv_octagon,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
g4,efsmt,bv_interval,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,T,X,T,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,Err
bitwuzla,efsmt,power_bv_interval,False,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
z3,efsmt,bv_zone,True,1,T,T,Err,T,Err,T,T,U,Err,Err,U,Err,U,Err,Err,T,T,Err,Err,Err,U,U,T,Err,U,Err,T,Err,Err,Err,U,T,T,U,T,Err,Err,U,Err,U,U,Err,U,U,T,U,Err,Err,Err,T,U,U,Err,T,U,T,Err,T,T,U,U,U,T,Err,T,Err,Err,Err,T,Err,U,Err,U,Err,Err,Err,Err,Err,U,U,Err,Err,U,T,Err,T,T,U,U,T,Err,U,U,T,T,Err
q3b,efsmt,power_bv_interval,True,1,T,T,T,T,T,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,T,T,T,T,T,T,T,T,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,T,T,T,T,T,T,U,U,U,T,U,U,U,T,T,T,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,T,U,T,U,U,T,T,U
z3,efsmt,power_bv_zone,False,1,Err,U,U,U,U,T,T,U,X,U,U,X,X,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,X,U,U,X,U,U,X,U,U,U,U,U,U,U,X,X,U,X,U,U,X,U,X,U,U,U,U,U,U,U,X,U,U,U,U,U,U,T,T,U,U,U,X,U,U,U,X,X,X,U,U,U,X,T,T,U,U,U,X,T,U,X,Err,U,U,U
cd15,efsmt,power_bv_zone,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,Err,X,Err,X,T,T,X,X,T,T,U,T,X,T,T,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,T,T,X,Err,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,T,X,X,U,X,T,Err
lgl,efsmt,power_bv_poly,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,Err
yices2,efsmt,power_bv_interval,False,1,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,T,T,U,U,T,T,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,U,U,U,T,U
z3,efsmt,power_bv_octagon,False,1,X,U,X,U,U,U,U,X,U,X,U,X,X,U,T,X,Err,Err,Err,U,U,X,Err,Err,U,U,Err,Err,U,X,X,T,T,X,U,X,U,U,X,X,X,U,X,U,X,X,X,U,X,U,X,T,U,U,U,U,U,U,T,X,U,U,Err,U,X,Err,X,U,U,X,U,X,U,X,X,X,X,X,X,Err,X,X,U,U,X,U,X,X,X,T,U,X,U,X,Err,Err
cd15,efsmt,power_bv_poly,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err
q3b,efsmt,power_bv_octagon,True,1,U,T,T,T,T,U,U,U,U,U,U,U,U,U,U,T,Err,Err,Err,U,U,U,Err,Err,T,T,Err,Err,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,Err,T,T,Err,U,U,U,U,U,U,U,U,U,T,U,U,U,Err,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Err,Err
q3b,efsmt,power_bv_zone,True,1,U,T,T,T,T,T,T,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,T,T,T,T,T,T,U,T,U,T,T,U,T,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,T,T,T,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,T,T,T,T,T,T,U,U,T,T,U
z3qbf,efsmt,power_bv_interval,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
z3qbf,efsmt,power_bv_zone,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,U,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
g4,efsmt,bv_poly,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err
cvc5,efsmt,bv_poly,False,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
cvc4,efsmt,bv_poly,False,1,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,T,T,X,X,Err,X,U,U
yices2,efsmt,bv_zone,False,1,U,U,U,U,U,T,T,T,T,U,U,U,U,U,U,U,T,U,U,U,U,U,T,T,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,T,T,U,U,U,U,T,U
z3,efsmt,power_bv_octagon,True,1,T,T,T,Err,X,U,U,U,U,U,U,U,X,Err,T,T,Err,Err,Err,Err,Err,Err,Err,Err,Err,U,Err,Err,Err,Err,Err,T,T,Err,U,U,Err,Err,X,U,U,Err,U,Err,U,U,Err,Err,Err,T,U,Err,T,U,U,Err,Err,U,U,Err,Err,Err,Err,Err,U,Err,U,U,Err,U,Err,U,U,U,U,T,Err,Err,Err,Err,U,Err,Err,Err,Err,Err,U,U,Err,Err,Err,Err,Err,Err,Err,Err
yices,efsmt,power_bv_interval,False,1,Err,U,X,U,U,U,U,U,U,U,U,X,X,U,X,X,T,T,X,X,U,U,T,T,U,U,T,T,X,T,T,T,T,U,U,U,X,U,X,U,U,X,U,X,U,X,U,U,U,U,U,T,T,T,T,U,U,U,X,U,U,U,T,U,U,X,X,U,U,U,U,U,X,U,X,T,X,X,U,U,U,U,U,U,U,X,U,U,T,T,T,X,Err,U,T,U
caqe,efsmt,bv_poly,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
mc,efsmt,power_bv_interval,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,U,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
z3qbf,efsmt,bv_interval,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
q3b,efsmt,bv_poly,True,1,T,T,T,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,T,U,U,T,T,T,T,U,T,T,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,T,U,U,U,U,T,T,U,U,T,U,U,U,T,T,U,U,U,T,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,U,U,T,T,U
yices2,efsmt,bv_octagon,False,1,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,U,U,U,U,U,T,T,U,U,T,T,U,T,T,T,T,T,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,T,U
z3qbf,efsmt,power_bv_poly,True,1,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err
lgl,efsmt,power_bv_zone,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,T,Err,X,Err,X,T,T,X,X,T,T,U,T,X,T,T,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,T,T,X,Err,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,T,X,X,U,X,T,Err
bitwuzla,efsmt,bv_octagon,True,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,U,U,U,U,T,T,U,U,T,T,T,T,U,T,T,T,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U
g4,efsmt,bv_interval,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
cvc5,efsmt,bv_octagon,True,1,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,T,T,T,U,T,T,U,T,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,T,U
g4,efsmt,power_bv_interval,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
cvc5,efsmt,bv_zone,False,1,U,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,T,T,U,U,U,U,T,T,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,T,U,U,U,U,T,U
cvc4,efsmt,bv_octagon,True,1,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err
cvc4,efsmt,power_bv_poly,False,1,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,T,T,X,X,Err,X,U,U
cd15,efsmt,bv_poly,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,Err
gc4,efsmt,bv_interval,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,T,X,T,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,Err
cvc4,efsmt,bv_poly,True,1,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err
msat,efsmt,bv_zone,True,1,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err,Err
cvc5,efsmt,bv_poly,True,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U
cvc5,efsmt,power_bv_poly,False,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
bitwuzla,efsmt,bv_poly,True,1,T,T,T,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,T,T,T,T,T,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,T,T,U,U,T,U,T,T,U,T,U,U,U,U,U,T,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,T,U,U,U,T,U
yices,efsmt,bv_interval,False,1,Err,U,X,X,X,U,U,U,U,X,U,U,U,U,X,X,T,T,X,X,U,U,T,T,U,U,T,T,U,T,T,T,T,U,U,X,U,U,X,U,U,X,U,X,U,X,U,U,U,U,U,T,T,T,T,U,U,U,X,U,X,U,T,U,U,X,X,U,U,X,U,U,X,U,X,T,T,X,X,U,X,U,U,U,U,X,U,U,T,T,T,X,Err,U,T,U
cvc4,efsmt,bv_zone,False,1,Err,U,U,U,X,T,T,X,X,X,X,X,X,U,U,U,X,X,X,X,U,U,T,T,U,X,T,X,U,U,X,U,U,U,X,X,X,U,X,X,U,U,X,X,X,X,U,X,X,U,X,U,X,X,U,U,U,U,U,U,X,U,X,U,X,X,X,T,T,U,X,U,X,U,U,U,X,X,X,U,U,X,X,T,X,U,U,X,T,T,U,U,Err,U,T,U
g4,efsmt,power_bv_interval,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,Err
msat,efsmt,power_bv_zone,False,1,Err,U,U,X,X,T,T,X,X,U,U,X,U,U,U,U,U,T,U,U,U,U,U,U,U,X,U,U,U,U,X,U,U,U,U,U,X,U,X,U,U,U,X,U,X,U,U,X,X,U,X,U,X,X,X,U,U,U,U,U,U,U,U,U,X,U,U,T,T,U,U,X,X,U,U,X,X,X,X,U,U,U,X,T,X,U,U,X,T,T,U,U,Err,U,U,U
gc4,efsmt,bv_zone,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,T,X,U,T,X,T,T,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,T,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,T,X,X,U,X,T,Err
yices2,efsmt,power_bv_poly,True,1,T,T,T,T,T,U,U,U,U,U,U,U,U,U,T,T,T,T,T,U,U,U,T,T,T,T,T,T,U,U,U,T,T,U,U,U,U,U,U,U,U,U,U,U,U,U,T,U,U,U,U,U,U,T,U,T,U,T,T,U,U,U,T,T,T,U,U,U,U,T,U,U,U,U,T,U,U,U,U,U,U,U,U,U,U,U,U,U,U,T,T,U,U,T,T,U
lgl,efsmt,power_bv_octagon,True,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err,Err,X,Err,X,Err,Err,X,X,Err,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,X,X,Err,X,X,X,X,Err,X,X,X,X,X,X,X,X,Err,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Err,Err
,pdr,,False,1,T,T,T,T,T,X,X,X,X,T,T,T,T,X,T,T,T,T,X,X,F,T,T,T,T,T,T,T,T,T,T,T,T,X,X,X,T,F,X,T,T,X,X,X,T,X,T,T,T,T,T,X,X,T,T,T,T,T,T,T,X,F,T,T,T,X,X,T,T,X,F,F,T,X,T,T,X,X,X,F,T,X,X,T,T,T,X,X,T,T,T,X,X,T,T,F
mc,efsmt,bv_interval,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U
z3qbf,efsmt,bv_poly,False,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
